Doctor Name,Qualifications,Specializations,Experience,Clinic Address,City,Consultation Fee,,
Dr. Ishita Raka,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Aesthetic Dermatologist, Dermatosurgeon, Trichologist",10 Years Experience Overall  (5 years as specialist),"Shop 13/14 ,3rd Floor,  Shanti Madhuban Plaza, Agra",Agra,400,,1
Dr. Anuranjan Gupta,"MBBS, MCh - Plastic & Reconstructive Surgery","Plastic Surgeon, Cosmetologist",20 Years Experience Overall  (14 years as specialist),"# 45, Old Vijay Nagar Colony, Landmark: Near Agra Public School, Agra",Agra,500,,
Dr. Vibhor Kaushal,"MBBS, MD - Dermatology",Dermatologist,18 Years Experience Overall  (11 years as specialist),"# 3rd Floor, Shanti Madhuvan Plaza., Landmark: Opposite Pushpanjali Hosiptal, Agra",Agra,250,,
Dr. Satya Saraswat,"MBBS, MS - General Surgery, MCh - Plastic Surgery, DNB - Plastic Surgery","Plastic Surgeon, Cosmetologist, Hair Transplant Surgeon",23 Years Experience Overall  (16 years as specialist),"#54-55, Vimal Vihar, Sikandra Bodla Road, ,Shastripuram., Landmark: Near Anna Icon And Kargil petrol pump, Agra",Agra,800,,
Dr. Kuldeep Narain Saxena,"MBBS, MD - Dermatology , Venereology & Leprosy, MD - General Medicine","Dermatologist, Venereologist",38 Years Experience Overall  (34 years as specialist),"#67, Professor Colony, Hariparvat, Agra City, Landmark: Infront of Big Bazar., Agra",Agra,500,,
Dr. Manavi Mishra Singh,"MS - General Surgery, MCh - Plastic & Reconstructive Surgery","Plastic Surgeon, Burn Surgeon, Plastic Reconstruction Surgeon, Hair Transplant Surgeon, Cosmetologist",10 Years Experience Overall  (7 years as specialist),"MR PLAZA, SIKANDRA BODLA ROAD SECTOR 5 AVAS VIKAS, Landmark: Near Pushpanjali Hospital, Agra",Agra,500,,
Dr. V. K. Sonkar,"MBBS, MD - Dermatology , Venereology & Leprosy","Sexologist, Dermatologist, Cosmetologist",16 Years Experience Overall  (14 years as specialist),"119, Jaipur House Market, Opp. Bakery, Landmark: Near Jwala Talkies, Agra",Agra,450,,
Dr. Pranay Singh Chakotiya,"MBBS, MS - General Surgery, MCh - Plastic Surgery","Cosmetologist, Plastic Surgeon, Hair Transplant Surgeon",21 Years Experience Overall  (8 years as specialist),"DC-UG-8, First Floor, Shanti Madhuban Plaza, Landmark: Shanti Madhuban Plaza, In front of Dr Rajiv Pachauri ENT Clinic, Agra",Agra,700,,
Dr. Shailendra Jain,"MBBS, MD - Skin & VD","Dermatologist, Dermatosurgeon",21 Years Experience Overall  (20 years as specialist),"Akhilesh Tower, Hariparwat. Agra City, Landmark: Hotel Solitare., Agra",Agra,300,,
Dr. Rahul Sahai,"MBBS, MCh - Plastic Surgery, MS - General Surgery","Plastic Surgeon, Burn Surgeon",50 Years Experience Overall  (39 years as specialist),"69, Gandhi Nagar, Landmark: Near Gandhi Nagar Crossing, Agra",Agra,800,,
Dr. Isha Singh,"MD - Dermatology , Venereology & Leprosy, MBBS","Cosmetologist, Dermatologist, Trichologist",14 Years Experience Overall  (6 years as specialist),"2/91,Kotla House,Church Road,Khandari, Landmark: Near Kothi Meena Bazar, Agra",Agra,400,,
Dr. Ajay Singhal,"MBBS, MS - General Surgery, MCh - Burns & Plastic Surgery",Plastic Surgeon,11 Years Experience Overall  (7 years as specialist),"KE-73, Kaverikunj, Kamala Nagar, Landmark: Near Kaveri Mandir., Agra",Agra,500,,
Dr. Harmeet Kaur,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,10 Years Experience Overall  (3 years as specialist),"E-27, Pani ki tanki Rd, Near Hridyam Hospital, Landmark: Agra, Agra",Agra,400,,
Dr. K V Singh,"MD - Dermatology , Venereology & Leprosy, MBBS","Venereologist, Cosmetologist, Dermatologist",12 Years Experience Overall  (4 years as specialist),"1st Floor,Umesh Ji Medical Store, Rajpur Chungi, Landmark: Near Umesh Ji Medical Store, Agra",Agra,200,,
Dr. M. L. Gupta,"MBBS, MD - Skin & VD",Dermatologist,32 Years Experience Overall  (31 years as specialist),"Shamshabad Road, Shaheed Nagar, Agra, Landmark: Near Akashwani., Agra",Agra,400,,
Dr. Monisha Mohanty,MBBS,"Dermatologist, Cosmetologist",11 Years Experience Overall,"#B108, First Floor, Central Bank Road, Landmark: Opposite Shyamlal Baikunthnath Saree Showroom, Agra",Agra,150,,
Dr. Yatendra Chahar,"MBBS, MD - Dermatology",Dermatologist,13 Years Experience Overall  (12 years as specialist),"Bagla Enclave, Bodla Sikandra Road, Sikandra, Landmark: Laxmi Palace., Agra",Agra,200,,
Dr. Anand B Shah,"MDS - Oral & Maxillofacial Surgery, BDS","Hair Transplant Surgeon, Craniofacial Surgeon",9 Years Experience Overall  (7 years as specialist),"Musk Clinic, 7/8, Ground Floor, Shangrila Arcade, Shyamal Cross Roads, 100 Feet Ring Road, Landmark: Near Shangrila Arcade, Ahmedabad",Ahmedabad,1000,,
Dr. Meeta Desai,"MBBS, MD - Dermatology","Dermatologist, Cosmetologist, Trichologist",23 Years Experience Overall  (16 years as specialist),"105, 1st Floor, Advait Complex, Landmark: Above Buttercups & Near Sandesh Press, Ahmedabad",Ahmedabad,800,,
Dr. Harsh Bharat Amin,"MBBS, MS - General Surgery, MCh - Plastic & Reconstructive Surgery","Plastic Surgeon, General Surgeon, Cosmetologist, Bariatric Surgeon, Hair Transplant Surgeon",17 Years Experience Overall  (12 years as specialist),"HOUSE of ADORN - AESTHETICS - Cosmetic Plastic Surgery / Skin / Dental / Dietician / Slimming / Hair Transplant Clinic,   opposite Reliance JIO Petrol-pump, Ambawadi Circle,, Landmark: besides shakuntal appartment, Ahmedabad",Ahmedabad,1000,,
Dr. Anas Kololi Chalil,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Trichologist, Aesthetic Dermatologist, Cosmetologist, Hair Transplant Surgeon",4 Years Experience Overall  (1 year as specialist),"Shop Number 5 & 6, Ground Floor, 3rd Eye Building, Landmark: Near Panchvati Circle, Ahmedabad",Ahmedabad,700,,
Dr. Rupa Tejas Shah,"MBBS, DVD","Dermatologist, Cosmetologist",32 Years Experience Overall  (28 years as specialist),"6-B, SF - 204, Vision Complex 14 Devang Park, Panjarapole Cross Roads, Landmark: Near Topaz & Vaibhav Restaurant, Ahmedabad",Ahmedabad,1000,,
Dr. Nivedita Kakkad,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Aesthetic Dermatologist, Cosmetologist",10 Years Experience Overall  (2 years as specialist),"Ground Floor- 4, Amrapali Lake View Tower., Landmark: Opposite Alpha One Mall., Ahmedabad",Ahmedabad,500,,
Dr. Anshul Warman,"MBBS, MD - Dermatology","Trichologist, Aesthetic Dermatologist, Hair Transplant Surgeon, Cosmetologist",22 Years Experience Overall  (16 years as specialist),"Plot Number 1 A, Bhat GIDC Estate, Landmark: Near Narayani Hotel, Ahmedabad",Ahmedabad,1000,,
